date,open,High,low,close,volume
8/2/2021,9.300000191,9.538000107,9.255000114,9.258999825,9391596
8/3/2021,9.364999771,9.675999641,9.322999954,9.552000046,6603494
8/4/2021,9.597999573,9.609000206,9.30300045,9.430000305,3988594
8/5/2021,9.348999977,9.491999626,9.272000313,9.491999626,4646050
8/6/2021,9.482000351,9.55300045,9.395999908,9.55300045,4282818
8/9/2021,9.5,9.541999817,9.342000008,9.517999649,3836444
8/10/2021,9.517999649,9.654000282,9.451999664,9.62100029,9948858
8/11/2021,9.63599968,9.699999809,9.565999985,9.699999809,3293490
8/12/2021,9.710000038,9.850000381,9.675000191,9.744000435,4304814
8/13/2021,9.779999733,9.779999733,9.586000443,9.654999733,3833166
8/16/2021,9.541999817,9.545000076,9.44299984,9.517999649,3805656
8/17/2021,9.449999809,9.600000381,9.397000313,9.517000198,3261756
8/18/2021,9.5,9.612000465,9.482000351,9.586000443,3085663
8/19/2021,9.390000343,9.434000015,9.241999626,9.286000252,7959196
8/20/2021,9.289999962,9.376000404,9.230999947,9.362000465,5207263
8/23/2021,9.449000359,9.687000275,9.395999908,9.663999557,5277398
8/24/2021,9.699999809,9.755000114,9.663000107,9.720000267,5054030
8/25/2021,9.737999916,9.81000042,9.675000191,9.715000153,3858755
8/26/2021,9.642000198,9.737000465,9.590999603,9.69299984,2311914
8/27/2021,9.76099968,9.930000305,9.696000099,9.904000282,3356171
8/30/2021,9.859999657,9.975999832,9.836000443,9.895999908,2907959
8/31/2021,9.916999817,9.916999817,9.670000076,9.704999924,8506868
